Company,Rank,Year,Industry,Headquarters_state,Revenue_mil,profit_mil
Air Products & Chemicals,355,2020,Chemicals,PA,8919,1760
Mosaic,356,2020,Chemicals,FL,8906,1067
Huntington Ingalls Industries,357,2020,Aerospace & Defense,VA,8899,549
Berry Global Group,358,2020,"Packaging, Containers",IN,8878,404
Anixter International,359,2020,Wholesalers: Electronics and Office Equipment,IL,8846,263
Alaska Air Group,360,2020,Airlines,WA,8781,769
Yum China Holdings,361,2020,Food Services,TX,8776,713
Dick's Sporting Goods,362,2020,Specialty Retailers: Other,PA,8751,298
Caesars Holdings,363,2020,"Hotels, Casinos, Resorts",NV,8742,1195
Genworth Financial,364,2020,"Insurance: Life, Health (Stock)",VA,8681,343
Targa Resources,365,2020,Pipelines,TX,8671,209
Coty,366,2020,Household and Personal Products,NY,8649,3784
Dana,367,2020,Motor Vehicles & Parts,OH,8620,226
Thrivent Financial for Lutherans,368,2020,"Insurance: Life, Health (Mutual)",MN,8612,968
Autoliv,369,2020,Motor Vehicles & Parts,MI,8548,462
SpartanNash,370,2020,Wholesalers: Food and Grocery,MI,8536,6
Eversource Energy,371,2020,Utilities: Gas and Electric,MA,8527,909
Darden Restaurants,372,2020,Food Services,FL,8510,713
Chesapeake Energy,373,2020,"Mining, Crude-Oil Production",OK,8489,308
NOV,374,2020,"Oil and Gas Equipment, Services",TX,8479,6095
Fidelity National Financial,375,2020,Insurance: Property and Casualty (Stock),FL,8469,1062
Erie Insurance Group,376,2020,Insurance: Property and Casualty (Mutual),PA,8443,551
Oshkosh,377,2020,Construction and Farm Machinery,WI,8382,579
Casey's General Stores,378,2020,Specialty Retailers: Other,IA,8365,204
WESCO International,379,2020,Wholesalers: Diversified,PA,8359,223
Tractor Supply,380,2020,Specialty Retailers: Other,TN,8352,562
CommScope Holding,381,2020,Network and Other Communications Equipment,NC,8345,930
Huntsman,382,2020,Chemicals,TX,8342,562
American Financial Group,383,2020,Insurance: Property and Casualty (Stock),OH,8237,897
Masco,384,2020,"Home Equipment, Furnishings",MI,8235,935
Sanmina,385,2020,Semiconductors and Other Electronic Components,CA,8234,142
Amphenol,386,2020,Network and Other Communications Equipment,CT,8225,1155
Williams,387,2020,Pipelines,OK,8201,850
Westinghouse Air Brake Technologies,388,2020,Industrial Machinery,PA,8200,327
Expeditors Intl. of Washington,389,2020,Transportation and Logistics,WA,8175,590
Andersons,390,2020,Food Production,OH,8170,18
Westlake,391,2020,Chemicals,TX,8118,421
Constellation Brands,392,2020,Beverages,NY,8116,3436
Frontier Communications,393,2020,Telecommunications,CT,8107,5911
JetBlue Airways,394,2020,Airlines,NY,8094,569
Citizens Financial Group,395,2020,Commercial Banks,RI,8066,1791
Raymond James Financial,396,2020,Securities,FL,8023,1034
Foot Locker,397,2020,Specialty Retailers: Apparel,NY,8005,491
Hershey,398,2020,Food Consumer Products,PA,7986,1150
Zimmer Biomet Holdings,399,2020,Medical Products and Equipment,IN,7982,1132
Cincinnati Financial,400,2020,Insurance: Property and Casualty (Stock),OH,7924,1997
Western & Southern Financial Group,401,2020,"Insurance: Life, Health (Mutual)",OH,7921,245
W.R. Berkley,402,2020,Insurance: Property and Casualty (Stock),CT,7902,682
Motorola Solutions,403,2020,Network and Other Communications Equipment,IL,7887,868
Thor Industries,404,2020,Motor Vehicles & Parts,IN,7865,133
Regeneron Pharmaceuticals,405,2020,Pharmaceuticals,NY,7863,2116
Spirit AeroSystems Holdings,406,2020,Aerospace & Defense,KS,7863,530
J.M. Smucker,407,2020,Food Consumer Products,OH,7838,514
PPL,408,2020,Utilities: Gas and Electric,PA,7769,1746
Insight Enterprises,409,2020,Information Technology Services,AZ,7731,159
Quest Diagnostics,410,2020,Health Care: Pharmacy and Other Services,NJ,7726,858
KeyCorp,411,2020,Commercial Banks,OH,7694,1717
Veritiv,412,2020,Wholesalers: Diversified,GA,7659,30
DCP Midstream,413,2020,Pipelines,CO,7625,17
American Tower,414,2020,Real Estate,MA,7580,1888
Graybar Electric,415,2020,Wholesalers: Diversified,MO,7524,145
WEC Energy Group,416,2020,Utilities: Gas and Electric,WI,7523,1134
NVR,417,2020,Homebuilders,VA,7428,879
Ulta Beauty,418,2020,Specialty Retailers: Other,IL,7398,706
Devon Energy,419,2020,"Mining, Crude-Oil Production",OK,7372,355
Blackstone,420,2020,Diversified Financials,NY,7338,2050
Dean Foods,421,2020,Food Consumer Products,TX,7329,500
Fortive,422,2020,Industrial Machinery,WA,7326,739
UGI,423,2020,Energy,PA,7320,256
Burlington Stores,424,2020,Specialty Retailers: Apparel,NJ,7286,465
Builders FirstSource,425,2020,"Building Materials, Glass",TX,7280,222
Toll Brothers,426,2020,Homebuilders,PA,7224,590
Old Republic International,427,2020,Insurance: Property and Casualty (Stock),IL,7214,1056
Asbury Automotive Group,428,2020,"Automotive Retailing, Services",GA,7210,184
Arthur J. Gallagher,429,2020,Diversified Financials,IL,7195,669
MasTec,430,2020,Engineering & Construction,FL,7183,392
Owens Corning,431,2020,"Building Materials, Glass",OH,7160,405
Magellan Health,432,2020,Health Care: Insurance and Managed Care,AZ,7159,56
Dover,433,2020,Industrial Machinery,IL,7136,678
Beacon Roofing Supply,434,2020,Wholesalers: Diversified,VA,7105,11
Avery Dennison,435,2020,"Packaging, Containers",CA,7070,304
Hanesbrands,436,2020,Apparel,NC,6967,601
Packaging Corp. of America,437,2020,"Packaging, Containers",IL,6964,696
M&T Bank,438,2020,Commercial Banks,NY,6941,1929
NCR,439,2020,"Computers, Office Equipment",GA,6915,564
Northern Trust,440,2020,Commercial Banks,IL,6895,1492
Cintas,441,2020,Diversified Outsourcing Services,OH,6892,885
Polaris,442,2020,Transportation Equipment,MN,6863,324
CMS Energy,443,2020,Utilities: Gas and Electric,MI,6845,680
Seaboard,444,2020,Food Production,KS,6840,283
Intuit,445,2020,Computer Software,CA,6784,1557
Regions Financial,446,2020,Commercial Banks,AL,6755,1582
FM Global,447,2020,Insurance: Property and Casualty (Stock),RI,6743,2479
Advanced Micro Devices,448,2020,Semiconductors and Other Electronic Components,CA,6731,341
Ovintiv,449,2020,"Mining, Crude-Oil Production",CO,6726,234
Booz Allen Hamilton Holding,450,2020,Information Technology Services,VA,6704,419
S&P Global,451,2020,Financial Data Services,NY,6699,2123
Rockwell Automation,452,2020,"Electronics, Electrical Equipment",WI,6695,696
O-I Glass,453,2020,"Packaging, Containers",OH,6691,400
Wynn Resorts,454,2020,"Hotels, Casinos, Resorts",NV,6611,123
Securian Financial Group,455,2020,"Insurance: Life, Health (Stock)",MN,6601,435
Bread Financial Holdings,456,2020,Financial Data Services,OH,6581,278
Brighthouse Financial,457,2020,"Insurance: Life, Health (Stock)",NC,6554,740
Weyerhaeuser,457,2020,Forest and Paper Products,WA,6554,76
Intercontinental Exchange,459,2020,Securities,GA,6547,1933
American Axle & Manufacturing,460,2020,Motor Vehicles & Parts,MI,6531,485
Hess,461,2020,"Mining, Crude-Oil Production",NY,6510,408
ABM Industries,462,2020,Diversified Outsourcing Services,NY,6499,127
Activision Blizzard,463,2020,Entertainment,CA,6489,1503
GameStop,464,2020,Specialty Retailers: Other,TX,6466,471
APA,465,2020,"Mining, Crude-Oil Production",TX,6411,3553
Science Applications International,466,2020,Information Technology Services,VA,6379,226
AK Steel Holding,467,2020,Metals,OH,6359,11
Dillard's,468,2020,General Merchandisers,AR,6343,111
Ralph Lauren,469,2020,Apparel,NY,6313,431
Celanese,470,2020,Chemicals,TX,6297,852
R.R. Donnelley & Sons,471,2020,"Publishing, Printing",IL,6276,93
Zoetis,472,2020,Pharmaceuticals,NJ,6260,1500
Mahwah Bergen Retail Group,473,2020,Specialty Retailers: Apparel,NJ,6243,661
Clorox,474,2020,Household and Personal Products,CA,6214,820
Ingredion,475,2020,Food Production,IL,6209,413
First American Financial,476,2020,Insurance: Property and Casualty (Stock),CA,6202,707
Graphic Packaging Holding,477,2020,"Packaging, Containers",GA,6160,207
HD Supply Holdings,478,2020,Wholesalers: Diversified,GA,6146,452
NetApp,478,2020,"Computers, Office Equipment",CA,6146,1169
TravelCenters of America,480,2020,Specialty Retailers: Other,OH,6117,33
Olin,481,2020,Chemicals,MO,6110,11
Robert Half International,482,2020,Temporary Help,CA,6074,454
EnLink Midstream,483,2020,Pipelines,TX,6053,1119
Avantor,484,2020,"Scientific, Photographic and Control Equipment",PA,6040,38
Tapestry,485,2020,Apparel,NY,6027,643
TD Ameritrade Holding,486,2020,Securities,NE,6016,2208
Analog Devices,487,2020,Semiconductors and Other Electronic Components,MA,5991,1363
Ameren,488,2020,Utilities: Gas and Electric,MO,5910,828
Williams-Sonoma,489,2020,Specialty Retailers: Other,CA,5898,356
Anywhere Real Estate,490,2020,Real Estate,NJ,5870,188
Commercial Metals,491,2020,Metals,TX,5829,198
Rush Enterprises,492,2020,"Automotive Retailing, Services",TX,5810,142
Franklin Resources,493,2020,Securities,CA,5775,1196
Fortune Brands Innovations,494,2020,"Home Equipment, Furnishings",IL,5765,432
Levi Strauss,495,2020,Apparel,CA,5763,395
Crown Castle,496,2020,Real Estate,TX,5763,860
Simon Property Group,497,2020,Real Estate,IN,5755,2102
Cerner,498,2020,Health Care: Pharmacy and Other Services,MO,5693,530
Post Holdings,499,2020,Food Consumer Products,MO,5681,125
Huntington Bancshares,500,2020,Commercial Banks,OH,5655,1411
Walmart,1,2021,General Merchandisers,AR,559151,13510
Amazon,2,2021,Internet Services and Retailing,WA,386064,21331
Apple,3,2021,"Computers, Office Equipment",CA,274515,57411
CVS Health,4,2021,Health Care: Pharmacy and Other Services,RI,268706,7179
UnitedHealth Group,5,2021,Health Care: Insurance and Managed Care,MN,257141,15403
Berkshire Hathaway,6,2021,Insurance: Property and Casualty (Stock),NE,245510,42521
McKesson,7,2021,Wholesalers: Health Care,TX,231051,900
AmerisourceBergen,8,2021,Wholesalers: Health Care,PA,189894,3409
Alphabet,9,2021,Internet Services and Retailing,CA,182527,40269
Exxon Mobil,10,2021,Petroleum Refining,TX,181502,22440
AT&T,11,2021,Telecommunications,TX,171760,5176
Costco Wholesale,12,2021,General Merchandisers,WA,166761,4002
Cigna,13,2021,Health Care: Pharmacy and Other Services,CT,160401,8458
Cardinal Health,14,2021,Wholesalers: Health Care,OH,152922,3696
Microsoft,15,2021,Computer Software,WA,143015,44281
Walgreens Boots Alliance,16,2021,Food & Drug Stores,IL,139537,456
Kroger,17,2021,Food & Drug Stores,OH,132498,2585
Home Depot,18,2021,Specialty Retailers: Other,GA,132110,12866
JPMorgan Chase,19,2021,Commercial Banks,NY,129503,29131
Verizon Communications,20,2021,Telecommunications,NY,128292,17801
Ford Motor,21,2021,Motor Vehicles & Parts,MI,127144,1279
General Motors,22,2021,Motor Vehicles & Parts,MI,122485,6427
Elevance Health,23,2021,Health Care: Insurance and Managed Care,IN,121867,4572
Centene,24,2021,Health Care: Insurance and Managed Care,MO,111115,1808
Fannie Mae,25,2021,Diversified Financials,DC,106437,11805
Comcast,26,2021,Telecommunications,PA,103564,10534
Chevron,27,2021,Petroleum Refining,CA,94692,5543
Dell Technologies,28,2021,"Computers, Office Equipment",TX,94224,3250
Bank of America,29,2021,Commercial Banks,NC,93753,17894
Target,30,2021,General Merchandisers,MN,93561,4368
Lowe's,31,2021,Specialty Retailers: Other,NC,89597,5835
Marathon Petroleum,32,2021,Petroleum Refining,OH,88952,9826
Citigroup,33,2021,Commercial Banks,NY,88839,11047
Meta Platforms,34,2021,Internet Services and Retailing,CA,85965,29146
UPS,35,2021,"Mail, Package, and Freight Delivery",GA,84628,1343
Johnson & Johnson,36,2021,Pharmaceuticals,NJ,82584,14714
Wells Fargo,37,2021,Commercial Banks,CA,80303,3301
General Electric,38,2021,Industrial Machinery,MA,79619,5704
State Farm Insurance,39,2021,Insurance: Property and Casualty (Mutual),IL,78898,3739
Intel,40,2021,Semiconductors and Other Electronic Components,CA,77867,20899
Humana,41,2021,Health Care: Insurance and Managed Care,KY,77155,3367
IBM,42,2021,Information Technology Services,NY,73620,5590
Procter & Gamble,43,2021,Household and Personal Products,OH,70950,13027
PepsiCo,44,2021,Food Consumer Products,NY,70372,7120
FedEx,45,2021,"Mail, Package, and Freight Delivery",TN,69217,1286
MetLife,46,2021,"Insurance: Life, Health (Stock)",NY,67842,5407
Freddie Mac,47,2021,Diversified Financials,VA,66228,7326
Phillips 66,48,2021,Petroleum Refining,TX,65494,3975
Lockheed Martin,49,2021,Aerospace & Defense,MD,65398,6833
Walt Disney,50,2021,Entertainment,CA,65388,2864
Archer Daniels Midland,51,2021,Food Production,IL,64355,1772
Albertsons,52,2021,Food & Drug Stores,ID,62455,466
Valero Energy,53,2021,Petroleum Refining,TX,60115,1421
Boeing,54,2021,Aerospace & Defense,IL,58158,11873
Prudential Financial,55,2021,"Insurance: Life, Health (Stock)",NJ,57033,374
HP,56,2021,"Computers, Office Equipment",CA,56639,2844
Raytheon Technologies,57,2021,Aerospace & Defense,MA,56587,3519
StoneX Group,58,2021,Diversified Financials,NY,54140,170
Goldman Sachs Group,59,2021,Commercial Banks,NY,53498,9459
Sysco,60,2021,Wholesalers: Food and Grocery,TX,52893,216
Morgan Stanley,61,2021,Commercial Banks,NY,52047,10996
HCA Healthcare,62,2021,Health Care: Medical Facilities,TN,51533,3754
Cisco Systems,63,2021,Network and Other Communications Equipment,CA,49301,11214
Charter Communications,64,2021,Telecommunications,CT,48097,3222
Merck,65,2021,Pharmaceuticals,NJ,47994,7067
Best Buy,66,2021,Specialty Retailers: Other,MN,47262,1798
New York Life Insurance,67,2021,"Insurance: Life, Health (Mutual)",NY,46712,822
AbbVie,68,2021,Pharmaceuticals,IL,45804,4616
Publix Super Markets,69,2021,Food & Drug Stores,FL,45204,3972
Allstate,70,2021,Insurance: Property and Casualty (Stock),IL,44791,5576
Liberty Mutual Insurance Group,71,2021,Insurance: Property and Casualty (Stock),MA,43796,758
AIG,72,2021,Insurance: Property and Casualty (Stock),NY,43736,5944
Tyson Foods,73,2021,Food Production,AR,43185,2061
Progressive,74,2021,Insurance: Property and Casualty (Stock),OH,42658,5705
Bristol-Myers Squibb,75,2021,Pharmaceuticals,NY,42518,9015
Nationwide,76,2021,Insurance: Property and Casualty (Mutual),OH,41930,138
Pfizer,77,2021,Pharmaceuticals,NY,41908,9616
Caterpillar,78,2021,Construction and Farm Machinery,IL,41748,2998
TIAA,79,2021,"Insurance: Life, Health (Mutual)",NY,41619,558
Oracle,80,2021,Computer Software,TX,39068,10135
Energy Transfer,81,2021,Pipelines,TX,38954,648
Dow,82,2021,Chemicals,MI,38542,1225
American Express,83,2021,Diversified Financials,NY,38185,3135
General Dynamics,84,2021,Aerospace & Defense,VA,37925,3167
Nike,85,2021,Apparel,OR,37403,2539
Northrop Grumman,86,2021,Aerospace & Defense,VA,36799,3189
USAA,87,2021,Insurance: Property and Casualty (Stock),TX,36296,3907
Deere,88,2021,Construction and Farm Machinery,IL,35540,2751
Abbott Laboratories,89,2021,Medical Products and Equipment,IL,34608,4495
Northwestern Mutual,90,2021,"Insurance: Life, Health (Mutual)",WI,33782,425
Dollar General,91,2021,Specialty Retailers: Other,TN,33747,2655
Exelon,92,2021,Utilities: Gas and Electric,IL,33039,1963
Coca-Cola,93,2021,Beverages,GA,33014,7747
Honeywell International,94,2021,"Electronics, Electrical Equipment",NC,32637,4779
Thermo Fisher Scientific,95,2021,"Scientific, Photographic and Control Equipment",MA,32218,6375
3M,96,2021,Chemicals,MN,32184,5384
TJX,97,2021,Specialty Retailers: Apparel,MA,32137,91
Travelers,98,2021,Insurance: Property and Casualty (Stock),NY,31981,2697
Capital One Financial,99,2021,Commercial Banks,VA,31643,2714
Tesla,100,2021,Motor Vehicles & Parts,CA,31536,721
Philip Morris International,101,2021,Tobacco,NY,28694,8056
Arrow Electronics,102,2021,Wholesalers: Electronics and Office Equipment,CO,28673,584
CHS,103,2021,Food Production,MN,28406,422
Jabil,104,2021,Semiconductors and Other Electronic Components,FL,27266,54
Enterprise Products Partners,105,2021,Pipelines,TX,27200,3776
Hewlett Packard Enterprise,106,2021,"Computers, Office Equipment",TX,26982,322
United Natural Foods,107,2021,Wholesalers: Food and Grocery,RI,26743,274
Mondelez International,108,2021,Food Consumer Products,IL,26581,3555
Paramount Global,109,2021,Entertainment,NY,26186,2422
Kraft Heinz,110,2021,Food Consumer Products,IL,26185,356
Dollar Tree,111,2021,Specialty Retailers: Other,VA,25509,1342
Amgen,112,2021,Pharmaceuticals,CA,25424,7264
U.S. Bancorp,113,2021,Commercial Banks,MN,25241,4959
Performance Food Group,114,2021,Wholesalers: Food and Grocery,VA,25086,114
Netflix,115,2021,Entertainment,CA,24996,2761
Gilead Sciences,116,2021,Pharmaceuticals,CA,24689,123
TD Synnex,117,2021,Wholesalers: Electronics and Office Equipment,CA,24676,529
Eli Lilly,118,2021,Pharmaceuticals,IN,24540,6194
Truist Financial,119,2021,Commercial Banks,NC,24427,4482
PNC Financial Services Group,120,2021,Commercial Banks,PA,24039,7517
Broadcom,121,2021,Semiconductors and Other Electronic Components,CA,23888,2960
CBRE Group,122,2021,Real Estate,TX,23826,752
Massachusetts Mutual Life Insurance,123,2021,"Insurance: Life, Health (Mutual)",MA,23663,101
Qualcomm,124,2021,Semiconductors and Other Electronic Components,CA,23531,5198
Starbucks,125,2021,Food Services,WA,23518,928
Duke Energy,126,2021,Utilities: Gas and Electric,NC,23453,1377
Plains GP Holdings,127,2021,Pipelines,TX,23290,568
US Foods Holding,128,2021,Wholesalers: Food and Grocery,IL,22885,226
Lennar,129,2021,Homebuilders,FL,22489,2465
Danaher,130,2021,Medical Products and Equipment,DC,22284,3646
Aflac,131,2021,"Insurance: Life, Health (Stock)",GA,22147,4778
Rite Aid,132,2021,Food & Drug Stores,PA,21928,452
Visa,133,2021,Financial Data Services,CA,21846,10866
PayPal Holdings,134,2021,Financial Data Services,CA,21454,4202
Micron Technology,135,2021,Semiconductors and Other Electronic Components,ID,21435,2687
CarMax,136,2021,"Automotive Retailing, Services",VA,21424,888
Salesforce,137,2021,Computer Software,CA,21252,4072
Altria Group,138,2021,Tobacco,VA,20841,4467
Lumen Technologies,139,2021,Telecommunications,LA,20712,1232
Baker Hughes,140,2021,"Oil and Gas Equipment, Services",TX,20705,9940
International Paper,141,2021,"Packaging, Containers",TN,20580,482
Hartford Financial Services Group,142,2021,Insurance: Property and Casualty (Stock),CT,20523,1737
Penske Automotive Group,143,2021,"Automotive Retailing, Services",MI,20444,544
DuPont,144,2021,Chemicals,DE,20397,2951
AutoNation,145,2021,"Automotive Retailing, Services",FL,20390,382
Southern,146,2021,Utilities: Gas and Electric,GA,20375,3119
World Fuel Services,147,2021,Energy,FL,20358,110
D.R. Horton,148,2021,Homebuilders,TX,20311,2374
Nucor,149,2021,Metals,NC,20140,722
Cummins,150,2021,Industrial Machinery,IN,19811,1789
NGL Energy Partners,151,2021,Pipelines,OK,19771,397
DXC Technology,152,2021,Information Technology Services,VA,19577,5369
Union Pacific,153,2021,Railroads,NE,19533,5349
Whirlpool,154,2021,"Electronics, Electrical Equipment",MI,19456,1081
Molina Healthcare,155,2021,Health Care: Insurance and Managed Care,CA,19423,673
ConocoPhillips,156,2021,"Mining, Crude-Oil Production",TX,19256,2701
McDonald's,157,2021,Food Services,IL,19208,4731
Kimberly-Clark,158,2021,Household and Personal Products,TX,19140,2352
Paccar,159,2021,Construction and Farm Machinery,WA,18729,1298
PG&E,160,2021,Utilities: Gas and Electric,CA,18469,1318
CDW,161,2021,Information Technology Services,IL,18468,789
Sherwin-Williams,162,2021,Chemicals,OH,18362,2030
L3Harris Technologies,163,2021,Aerospace & Defense,FL,18194,1119
Macy's,164,2021,General Merchandisers,NY,18097,3944
ManpowerGroup,165,2021,Temporary Help,WI,18001,24
NextEra Energy,166,2021,Utilities: Gas and Electric,FL,17997,2919
Tenet Healthcare,167,2021,Health Care: Medical Facilities,TX,17640,399
Avnet,168,2021,Wholesalers: Electronics and Office Equipment,AZ,17634,31
General Mills,169,2021,Food Consumer Products,MN,17627,2181
WestRock,170,2021,"Packaging, Containers",GA,17579,691
Carrier Global,171,2021,Industrial Machinery,FL,17456,1982
Lincoln National,172,2021,"Insurance: Life, Health (Stock)",PA,17439,499
Genuine Parts,173,2021,Wholesalers: Diversified,GA,17384,29
American Airlines Group,174,2021,Airlines,TX,17337,8885
Marsh & McLennan,175,2021,Diversified Financials,NY,17224,2016
Applied Materials,176,2021,Semiconductors and Other Electronic Components,CA,17202,3619
Becton Dickinson,177,2021,Medical Products and Equipment,NJ,17117,874
Delta Air Lines,178,2021,Airlines,GA,17095,12385
Lear,179,2021,Motor Vehicles & Parts,MI,17046,159
Bank of New York Mellon,180,2021,Commercial Banks,NY,16940,3617
Emerson Electric,181,2021,Industrial Machinery,MO,16785,1965
Western Digital,182,2021,"Computers, Office Equipment",CA,16736,250
Occidental Petroleum,183,2021,"Mining, Crude-Oil Production",TX,16680,14831
Nvidia,184,2021,Semiconductors and Other Electronic Components,CA,16675,4332
Cognizant Technology Solutions,185,2021,Information Technology Services,NJ,16652,1392
Jones Lang LaSalle,186,2021,Real Estate,IL,16590,403
Synchrony Financial,187,2021,Diversified Financials,CT,16472,1385
Colgate-Palmolive,188,2021,Household and Personal Products,NY,16471,2695
AECOM,189,2021,Engineering & Construction,CA,16391,186
XPO,190,2021,Transportation and Logistics,CT,16252,110
C.H. Robinson Worldwide,191,2021,Transportation and Logistics,MN,16207,506
BlackRock,192,2021,Securities,NY,16205,4932
Dominion Energy,193,2021,Utilities: Gas and Electric,VA,16128,401
Rocket Companies,194,2021,Diversified Financials,MI,15981,198
Kohl's,195,2021,General Merchandisers,WI,15955,163
Fluor,196,2021,Engineering & Construction,TX,15884,435
DISH Network,197,2021,Telecommunications,CO,15493,1763
BJ's Wholesale Club,198,2021,General Merchandisers,MA,15430,421
Tenneco,199,2021,Motor Vehicles & Parts,IL,15379,1521
United Airlines Holdings,200,2021,Airlines,IL,15355,7069
Mastercard,201,2021,Financial Data Services,NY,15301,6411
Waste Management,202,2021,Waste Management,TX,15218,1496
PBF Energy,203,2021,Petroleum Refining,NJ,15116,1392
American Electric Power,204,2021,Utilities: Gas and Electric,OH,14919,2200
Fiserv,205,2021,Financial Data Services,WI,14852,958
Principal Financial,206,2021,"Insurance: Life, Health (Stock)",IA,14742,1396
Reinsurance Group of America,207,2021,"Insurance: Life, Health (Stock)",MO,14596,415
Automatic Data Processing,208,2021,Diversified Outsourcing Services,NJ,14590,2467
Stanley Black & Decker,209,2021,"Home Equipment, Furnishings",CT,14535,1234
Texas Instruments,210,2021,Semiconductors and Other Electronic Components,TX,14461,5595
Halliburton,211,2021,"Oil and Gas Equipment, Services",TX,14445,2945
Stryker,212,2021,Medical Products and Equipment,MI,14351,1599
Estee Lauder,213,2021,Household and Personal Products,NY,14294,684
Corteva,214,2021,Food Production,DE,14217,681
Freeport-McMoRan,215,2021,"Mining, Crude-Oil Production",AZ,14198,599
Qurate Retail,216,2021,Internet Services and Retailing,CO,14177,1204
Wayfair,217,2021,Internet Services and Retailing,MA,14145,185
Laboratory Corp. of America,218,2021,Health Care: Pharmacy and Other Services,NC,13979,1556
Land O'Lakes,219,2021,Food Consumer Products,MN,13949,265
PPG Industries,220,2021,Chemicals,PA,13834,1059
Gap,221,2021,Specialty Retailers: Apparel,CA,13800,665
Kellogg,222,2021,Food Consumer Products,MI,13770,1251
Parker-Hannifin,223,2021,Industrial Machinery,OH,13696,1206
Core-Mark Holding,224,2021,Wholesalers: Food and Grocery,TX,13617,63
Jacobs Solutions,225,2021,Engineering & Construction,TX,13578,492
Edison International,226,2021,Utilities: Gas and Electric,CA,13578,739
Guardian Life Ins. Co. of America,227,2021,"Insurance: Life, Health (Mutual)",NY,13562,24
Biogen,228,2021,Pharmaceuticals,MA,13445,4001
Omnicom Group,229,2021,"Advertising, Marketing",NY,13171,945
Unum Group,230,2021,"Insurance: Life, Health (Stock)",TN,13162,793
Lithia Motors,231,2021,"Automotive Retailing, Services",OR,13124,470
American Family Insurance Group,232,2021,Insurance: Property and Casualty (Stock),WI,13075,403
Discover Financial Services,233,2021,Commercial Banks,IL,12953,1141
Adobe,234,2021,Computer Software,CA,12868,5260
Aramark,235,2021,Diversified Outsourcing Services,PA,12830,462
Otis Worldwide,236,2021,Industrial Machinery,CT,12756,906
Ecolab,237,2021,Chemicals,MN,12749,1205
AutoZone,238,2021,Specialty Retailers: Other,TN,12632,1733
Loews,239,2021,Insurance: Property and Casualty (Stock),NY,12583,931
Illinois Tool Works,240,2021,Industrial Machinery,IL,12574,2109
Fidelity National Information Services,241,2021,Financial Data Services,FL,12552,158
Ross Stores,242,2021,Specialty Retailers: Apparel,CA,12532,85
Peter Kiewit Sons',243,2021,Engineering & Construction,NE,12463,826
Equitable Holdings,244,2021,"Insurance: Life, Health (Stock)",NY,12415,648
WESCO International,245,2021,Wholesalers: Diversified,PA,12326,101
Goodyear Tire & Rubber,246,2021,Motor Vehicles & Parts,OH,12321,1254
Fox,247,2021,Entertainment,NY,12303,999
Leidos Holdings,248,2021,Information Technology Services,VA,12297,628
Consolidated Edison,249,2021,Utilities: Gas and Electric,NY,12246,1101
DTE Energy,250,2021,Utilities: Gas and Electric,MI,12177,1368
Charles Schwab,251,2021,Securities,TX,12109,3299
State Street,252,2021,Commercial Banks,MA,12078,2420
Ameriprise Financial,253,2021,Diversified Financials,MN,11958,1534
Viatris,254,2021,Pharmaceuticals,PA,11946,670
Sempra,255,2021,Utilities: Gas and Electric,CA,11940,3932
Farmers Insurance Exchange,256,2021,Insurance: Property and Casualty (Mutual),CA,11870,116
Bath & Body Works,257,2021,Specialty Retailers: Apparel,OH,11847,845
W.W. Grainger,258,2021,Wholesalers: Diversified,IL,11797,695
Community Health Systems,259,2021,Health Care: Medical Facilities,TN,11789,511
Ball,260,2021,"Packaging, Containers",CO,11781,585
Berry Global Group,261,2021,"Packaging, Containers",IN,11709,559
Kinder Morgan,262,2021,Pipelines,TX,11700,119
VF,263,2021,Apparel,CO,11688,679
Baxter International,264,2021,Medical Products and Equipment,IL,11673,1102
Textron,265,2021,Aerospace & Defense,RI,11651,309
LKQ,266,2021,Wholesalers: Diversified,IL,11629,638
Keurig Dr Pepper,267,2021,Beverages,MA,11618,1325
O'Reilly Automotive,268,2021,Specialty Retailers: Other,MO,11605,1752
Crown Holdings,269,2021,"Packaging, Containers",PA,11575,579
Universal Health Services,270,2021,Health Care: Medical Facilities,PA,11559,944
DaVita,271,2021,Health Care: Medical Facilities,CO,11551,774
Xcel Energy,272,2021,Utilities: Gas and Electric,MN,11526,1473
Newmont,273,2021,"Mining, Crude-Oil Production",CO,11497,2829
Vistra,274,2021,Energy,TX,11443,636
IQVIA Holdings,275,2021,Health Care: Pharmacy and Other Services,NC,11359,279
eBay,276,2021,Internet Services and Retailing,CA,11351,5667
Corning,277,2021,"Electronics, Electrical Equipment",NY,11303,512
Quanta Services,278,2021,Engineering & Construction,TX,11203,446
HF Sinclair,279,2021,Petroleum Refining,TX,11184,601
Bed Bath & Beyond,280,2021,Specialty Retailers: Other,NJ,11159,614
Uber Technologies,281,2021,Internet Services and Retailing,CA,11139,6768
Mutual of Omaha Insurance,282,2021,"Insurance: Life, Health (Stock)",NE,11098,698
Conagra Brands,283,2021,Food Consumer Products,IL,11054,840
PulteGroup,284,2021,Homebuilders,GA,11036,1407
EOG Resources,285,2021,"Mining, Crude-Oil Production",TX,11032,605
Group 1 Automotive,286,2021,"Automotive Retailing, Services",TX,10852,287
Ally Financial,287,2021,Diversified Financials,MI,10780,1085
Fidelity National Financial,288,2021,Insurance: Property and Casualty (Stock),FL,10778,1427
Nordstrom,289,2021,General Merchandisers,WA,10715,690
Warner Bros. Discovery,290,2021,Entertainment,MD,10671,1219
